date;weekly_growth
2020-01-26 00:00:00;0
2020-02-02 00:00:00;2
2020-02-09 00:00:00;0
2020-02-16 00:00:00;0
2020-02-23 00:00:00;0
2020-03-01 00:00:00;0
2020-03-08 00:00:00;15
2020-03-15 00:00:00;46
2020-03-22 00:00:00;304
2020-03-29 00:00:00;1167
2020-04-05 00:00:00;3855
2020-04-12 00:00:00;10381
2020-04-19 00:00:00;27083
2020-04-26 00:00:00;38096
2020-05-03 00:00:00;53738
2020-05-10 00:00:00;75001
2020-05-17 00:00:00;72064
2020-05-24 00:00:00;62729
2020-05-31 00:00:00;61362
2020-06-07 00:00:00;61230
2020-06-14 00:00:00;61194
2020-06-21 00:00:00;55612
2020-06-28 00:00:00;49684
2020-07-05 00:00:00;46720
2020-07-12 00:00:00;45753
2020-07-19 00:00:00;44275
2020-07-26 00:00:00;40762
2020-08-02 00:00:00;38204
2020-08-09 00:00:00;36441
2020-08-16 00:00:00;35001
2020-08-23 00:00:00;33609
2020-08-30 00:00:00;33142
2020-09-06 00:00:00;34758
2020-09-13 00:00:00;36796
2020-09-20 00:00:00;39934
2020-09-27 00:00:00;47315
2020-10-04 00:00:00;62766
2020-10-11 00:00:00;82648
2020-10-18 00:00:00;99137
2020-10-25 00:00:00;112828
2020-11-01 00:00:00;120996
2020-11-08 00:00:00;135772
2020-11-15 00:00:00;149729
2020-11-22 00:00:00;161709
2020-11-29 00:00:00;178032
2020-12-06 00:00:00;189273
2020-12-13 00:00:00;190536
2020-12-20 00:00:00;191426
2020-12-27 00:00:00;198847
2021-01-03 00:00:00;183771
2021-01-10 00:00:00;162972
2021-01-17 00:00:00;163664
2021-01-24 00:00:00;148868
2021-01-31 00:00:00;129101
2021-02-07 00:00:00;115113
2021-02-14 00:00:00;103045
2021-02-21 00:00:00;91486
2021-02-28 00:00:00;80408
2021-03-07 00:00:00;75863
2021-03-14 00:00:00;67118
2021-03-21 00:00:00;65650
2021-03-28 00:00:00;62296
2021-04-04 00:00:00;60249
2021-04-11 00:00:00;59633
2021-04-18 00:00:00;59835
2021-04-25 00:00:00;24655
